cnpjCoordenadorLider,cnpjEmissor,data,idRequerimento,nomeCoordenadorLider,nomeEmissor,nomeTipoRequerimento,nomeValorMobiliario,numeroProcesso,numeroProtocolo,numeroRegistro,possuiBook,razaoSocialFundoAssociado,registroAutomatico,statusDaOferta,tipoDeOferta,totalRegistros,valorTotalEmReais,vasoComunicante
00.360.305/0001-04,67.620.377/0001-14,17/04/2026,25991,CAIXA ECONOMICA FEDERAL,MINERVA S/A,OPD Aut Profissional - com bookbuilding - EGEM ou EFRF,Debêntures,SRE/1215/2026,1215/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"1.500.000.000,0000",False
59.588.111/0001-03,02.773.542/0001-22,17/04/2026,25996,BANCO VOTORANTIM S.A.,OPEA SECURITIZADORA S.A.,OPD Aut Profissional - com bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1214/2026,1214/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"70.000.000,0000",False
06.271.464/0001-19,13.743.550/0001-42,17/04/2026,25992,BANCO BRADESCO BBI S.A.,ASCENTY DATA CENTERS E TELECOMUNICACOES S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1213/2026,1213/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"386.235.000,0000",False
04.845.753/0001-59,66.174.532/0001-53,17/04/2026,25876,ITAU BBA ASSESSORIA FINANCEIRA S.A,RBR TESOURARIA FII IPCA+ FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - com bookbuilding,Cotas de FII,SRE/1106/2026,1106/2026,CVM/SRE/AUT/FII/PRI/2026/127,True,RBR TESOURARIA FII IPCA+ FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"300.000.000,0000",False
04.845.753/0001-59,66.173.986/0001-00,17/04/2026,25874,ITAU BBA ASSESSORIA FINANCEIRA S.A,RBR TESOURARIA FII CDI+ FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - com bookbuilding,Cotas de FII,SRE/1107/2026,1107/2026,CVM/SRE/AUT/FII/PRI/2026/126,True,RBR TESOURARIA FII CDI+ FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"300.000.000,0000",False
02.819.125/0001-73,00.845.661/0001-18,17/04/2026,25986,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",OFFICE TOTAL S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1212/2026,1212/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"102.000.000,0000",False
02.819.125/0001-73,03.305.176/0001-40,17/04/2026,25988,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",BIRD SOLUTION LTDA,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1211/2026,1211/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"8.000.000,0000",False
00.360.305/0001-04,08.467.115/0001-00,17/04/2026,25967,CAIXA ECONOMICA FEDERAL,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/1210/2026,1210/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"750.000.000,0000",False
06.271.464/0001-19,58.716.461/0001-45,17/04/2026,25745,BANCO BRADESCO BBI S.A.,AEDIFICA OESTE SP SPE S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/0981/2026,981/2026,CVM/SRE/AUT/DEB/PRI/2026/205,True,,True,Registro Concedido,PRIMARIA,413,"95.000.000,0000",False
00.360.305/0001-04,05.965.546/0001-09,17/04/2026,25962,CAIXA ECONOMICA FEDERAL,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1209/2026,1209/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"500.000.000,0000",False
21.610.424/0001-48,44.668.806/0001-28,17/04/2026,25987,HEDGE ALTERNATIVE INVESTMENTS LTDA,HEDGE CREDITO AGRO FIAGRO DE RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIAGRO,SRE/1208/2026,1208/2026,CVM/SRE/AUT/FIA/PRI/2026/048,False,HEDGE CRÉDITO AGRO FIAGRO DE RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"4.000.000,0000",False
16.695.922/0001-09,66.285.471/0001-00,17/04/2026,25990,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,ESTOQUE CENTRO-OESTE FUNDO DE INVESTIMENTO IMOBILIARIO  RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1207/2026,1207/2026,CVM/SRE/AUT/FII/PRI/2026/125,False,ESTOQUE CENTRO-OESTE FUNDO DE INVESTIMENTO IMOBILIÁRIO  RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"70.000.000,0000",False
02.773.542/0001-22,02.773.542/0001-22,17/04/2026,25947,OPEA SECURITIZADORA S.A.,OPEA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1206/2026,1206/2026,CVM/SRE/AUT/CRI/PRI/2026/217;CVM/SRE/AUT/CRI/PRI/2026/218,False,,True,Registro Concedido,PRIMARIA,413,"40.000.000,0000",False
13.486.793/0001-42,65.784.656/0001-98,17/04/2026,25977,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,DIGITAL CREDITO IMOBILIARIO CPV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESP LIMITADA,OPD Aut Público em Geral ou Qualificado - sem bookbuilding,Cotas de FIDC,SRE/1205/2026,1205/2026,CVM/SRE/AUT/FDC/PRI/2026/600;CVM/SRE/AUT/FDC/PRI/2026/601,False,DIGITAL CRÉDITO IMOBILIÁRIO CPV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADA,True,Registro Concedido,PRIMARIA,413,"6.250.000,0000",False
62.285.390/0001-40,64.787.056/0001-10,17/04/2026,25983,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,UNIQUE EON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1204/2026,1204/2026,CVM/SRE/AUT/FDC/PRI/2026/599,False,UNIQUE EON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,Registro Concedido,PRIMARIA,413,"50.000.000,0000",False
62.285.390/0001-40,64.787.056/0001-10,17/04/2026,25984,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,UNIQUE EON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1203/2026,1203/2026,CVM/SRE/AUT/FDC/PRI/2026/598,False,UNIQUE EON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,True,Registro Concedido,PRIMARIA,413,"10.000.000,0000",False
18.313.996/0001-50,53.740.335/0001-02,17/04/2026,25969,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,TREECORP IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIP,SRE/1202/2026,1202/2026,CVM/SRE/AUT/FIP/PRI/2026/093;CVM/SRE/AUT/FIP/PRI/2026/094;CVM/SRE/AUT/FIP/PRI/2026/095,False,TREECORP IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"70.000.000,0200",True
28.650.236/0001-92,62.918.989/0001-74,17/04/2026,25982,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. - GLPG DTVM,CLASSE ÚNICA DO ATLÂNTICO FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITO,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1201/2026,1201/2026,CVM/SRE/AUT/FDC/PRI/2026/597,False,CLASSE ÚNICA DO ATLÂNTICO FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITO,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",False
28.650.236/0001-92,62.918.704/0001-03,17/04/2026,25981,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. - GLPG DTVM,ATLÂNTICO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1200/2026,1200/2026,CVM/SRE/AUT/FDC/PRI/2026/596,False,ATLÂNTICO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",False
22.610.500/0001-88,60.413.964/0001-93,17/04/2026,25980,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,LAZIO II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1199/2026,1199/2026,CVM/SRE/AUT/FII/PRI/2026/124,False,LAZIO II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"400.000.026,7600",False
